business_id,full_address,hours,open,categories,city,review_count,name,neighborhoods,longitude,state,stars,latitude,attributes,type
nyFzIuJQdyG9sBLx5lC00w,"3355 Las Vegas Blvd S
Eastside
Las Vegas, NV 89109","{'Monday': {'close': '17:00', 'open': '09:00'}, 'Tuesday': {'close': '17:00', 'open': '09:00'}, 'Friday': {'close': '17:00', 'open': '09:00'}, 'Wednesday': {'close': '17:00', 'open': '09:00'}, 'Thursday': {'close': '17:00', 'open': '09:00'}, 'Sunday': {'close': '17:00', 'open': '09:00'}, 'Saturday': {'close': '17:00', 'open': '09:00'}}",TRUE,"['Event Planning & Services', 'Venues & Event Spaces']",Las Vegas,10,The Venetian Las Vegas,['Eastside'],-115.146372,NV,4,36.124423,{'Accepts Credit Cards': True},business
X5rpHPkr6ikJYFRdNkGT5Q,"1520 S Watson Rd
Buckeye, AZ 85326",{},TRUE,"['Auto Repair', 'Automotive', 'Tires']",Buckeye,3,Fletcher Tire & Auto,[],-112.55785,AZ,5,33.431585,{},business
UUwfLMowHkIGcwIRvR1bKw,"129 Fremont St
Downtown
Las Vegas, NV 89101",{},TRUE,"['Active Life', 'Bars', 'Cocktail Bars', 'Swimming Pools', 'Nightlife']",Las Vegas,36,Golden Nugget Pool,['Downtown'],-115.1455297,NV,4,36.16981291,"{'Alcohol': 'full_bar', 'Good For Dancing': False, 'Noise Level': 'very_loud', 'Coat Check': False, 'Has TV': True, 'Happy Hour': True, 'Music': {'dj': False, 'background_music': True, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Outdoor Seating': True, 'Parking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Smoking': 'yes', 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}",business
Sw0pDQKzToVJNL3i_tJfGQ,"601 S Hardy Dr
Apt 101
Tempe, AZ 85281","{'Monday': {'close': '20:00', 'open': '08:00'}, 'Tuesday': {'close': '20:00', 'open': '08:00'}, 'Friday': {'close': '20:00', 'open': '08:00'}, 'Wednesday': {'close': '20:00', 'open': '08:00'}, 'Thursday': {'close': '20:00', 'open': '08:00'}, 'Sunday': {'close': '20:00', 'open': '08:00'}, 'Saturday': {'close': '20:00', 'open': '08:00'}}",TRUE,"['Window Washing', 'Home Services']",Tempe,3,"1st Glass Window Cleaners, LLC",[],-111.951931,AZ,5,33.424235,{'Accepts Credit Cards': False},business
rw4kISlJT_edAYTJEBbDcw,"23435 N Pima Rd
Scottsdale, AZ 85255","{'Monday': {'close': '19:00', 'open': '09:00'}, 'Tuesday': {'close': '19:00', 'open': '09:00'}, 'Friday': {'close': '19:00', 'open': '09:00'}, 'Wednesday': {'close': '19:00', 'open': '09:00'}, 'Thursday': {'close': '19:00', 'open': '09:00'}, 'Sunday': {'close': '18:00', 'open': '10:00'}, 'Saturday': {'close': '18:00', 'open': '09:00'}}",TRUE,"['Used, Vintage & Consignment', 'Fashion', 'Shopping', 'Home & Garden', 'Furniture Stores']",Scottsdale,5,My Sister's Attic,[],-111.8905064,AZ,3.5,33.6988525,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}",business
FZJWzoQh1-VyvJAFBoI4w,"4700 W Sahara Ave
Westside
Las Vegas, NV 89102",{},TRUE,"[""Women's Clothing"", ""Men's Clothing"", 'Fashion', 'Shopping']",Las Vegas,5,Sheplers Western Wear,['Westside'],-115.2050056,NV,3,36.1446554,{},business
59U8McUEjsRC_7h4ALk12Q,"8560 W Desert Inn Rd
Ste D2
Westside
Las Vegas, NV 89117","{'Monday': {'close': '21:00', 'open': '11:00'}, 'Tuesday': {'close': '21:00', 'open': '11:00'}, 'Friday': {'close': '22:00', 'open': '11:00'}, 'Wednesday': {'close': '21:00', 'open': '11:00'}, 'Thursday': {'close': '21:00', 'open': '11:00'}, 'Sunday': {'close': '21:00', 'open': '11:00'}, 'Saturday': {'close': '22:00', 'open': '11:00'}}",TRUE,"['Food', 'Desserts', 'Coffee & Tea', 'Bubble Tea']",Las Vegas,177,Easy Life Boba Tea,['Westside'],-115.2777727,NV,4,36.1300289,"{'Take-out': True, 'Wi-Fi': 'free', 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Takes Reservations': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'none', 'Has TV': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}",business
DEr2k9GGyhF2LOU1iDl7Bw,"2645 W Baseline Rd
Mesa, AZ 85202",{},TRUE,"['Shopping', 'Nurseries & Gardening', 'Home & Garden']",Mesa,10,A & P Nurseries & Lawn Mower Shop,[],-111.891258,AZ,3.5,33.3780372,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}",business
_9TMkGfbOyniL-5P3Sx0nw,"1734 E Main St
Ste 5
Mesa, AZ 85203","{'Monday': {'close': '22:00', 'open': '10:00'}, 'Tuesday': {'close': '23:00', 'open': '09:00'}, 'Friday': {'close': '01:00', 'open': '09:00'}, 'Wednesday': {'close': '23:00', 'open': '09:00'}, 'Thursday': {'close': '23:00', 'open': '09:00'}, 'Sunday': {'close': '23:00', 'open': '09:00'}, 'Saturday': {'close': '01:00', 'open': '09:00'}}",FALSE,"['Hot Dogs', 'American (New)', 'Restaurants']",Mesa,6,Fritzs Footlong Bar & Grill,[],-111.793652,AZ,3.5,33.4159,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Delivery': False, 'Dogs Allowed': False, 'Has TV': True, 'Outdoor Seating': True, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': False, 'Good For Groups': True, 'Wheelchair Accessible': True}",business
lazw9jWJhmedL62rajC5UA,"1705 Double Arrow Pl
Westside
Las Vegas, NV 89128","{'Tuesday': {'close': '17:00', 'open': '09:00'}, 'Monday': {'close': '17:00', 'open': '09:00'}, 'Wednesday': {'close': '17:00', 'open': '09:00'}, 'Thursday': {'close': '17:00', 'open': '09:00'}}",TRUE,"['Local Services', 'Printing Services']",Las Vegas,3,Green Leopard Graphics,['Westside'],-115.225811,NV,3.5,36.140958,{'Accepts Credit Cards': True},business
