checkin_info,type,business_id
"{'0-4': 1, '17-4': 1, '16-4': 1, '20-6': 1}",checkin,2k3ou0yMLH1sPwomZ2JRZg
"{'20-1': 1, '8-3': 3, '13-5': 1, '8-5': 2, '13-4': 1, '7-4': 1, '17-6': 3, '8-6': 2, '15-3': 2, '16-0': 1, '6-3': 1, '18-0': 1, '18-1': 2, '18-2': 1, '18-3': 1, '22-2': 1, '14-4': 2, '15-0': 1, '14-0': 1, '14-1': 1, '18-5': 1, '19-4': 1, '19-6': 2, '19-1': 1, '19-3': 3, '11-5': 1, '11-4': 12, '13-1': 2, '11-6': 2, '11-1': 11, '13-6': 1, '11-3': 8, '11-2': 5, '12-4': 6, '12-5': 3, '12-2': 1, '12-3': 3, '12-0': 8, '12-1': 10, '9-1': 1, '13-3': 3, '9-2': 2, '9-5': 1, '8-0': 3, '9-6': 1, '7-3': 3, '7-2': 2, '7-0': 3, '8-4': 2, '8-1': 2, '16-2': 1, '16-3': 1, '17-5': 1, '17-4': 1, '20-0': 1, '10-0': 3, '10-1': 2, '10-2': 4, '10-3': 3, '10-4': 2, '10-5': 2, '10-6': 2, '11-0': 9}",checkin,rfAifR-peeyLh3-deq-G4A
"{'9-4': 1, '13-4': 1, '15-6': 1, '16-3': 2, '17-5': 1, '13-6': 1, '13-5': 1, '16-5': 2, '12-4': 1}",checkin,-0D_CYhlD2ILkmLR0pBmnA
"{'20-1': 5, '23-6': 1, '16-0': 4, '15-4': 3, '22-3': 3, '16-5': 4, '23-2': 1, '16-1': 5, '17-6': 7, '15-1': 3, '15-0': 1, '15-2': 2, '15-5': 5, '18-2': 4, '15-6': 4, '18-0': 4, '18-1': 8, '22-5': 8, '22-4': 10, '18-4': 7, '18-5': 11, '18-6': 4, '23-5': 4, '14-4': 1, '17-3': 2, '14-0': 1, '22-2': 1, '0-5': 1, '0-6': 3, '16-4': 6, '19-5': 10, '19-4': 12, '19-6': 3, '19-1': 3, '19-0': 1, '19-3': 3, '19-2': 6, '7-4': 1, '8-6': 1, '12-0': 1, '12-1': 1, '23-4': 2, '18-3': 5, '7-3': 1, '20-0': 4, '20-3': 8, '20-2': 6, '20-5': 8, '20-4': 20, '20-6': 5, '16-2': 5, '16-3': 3, '17-5': 10, '17-4': 2, '16-6': 5, '17-2': 11, '17-1': 11, '17-0': 5, '21-4': 15, '21-5': 9, '21-6': 4, '21-0': 4, '21-1': 1, '21-2': 5, '21-3': 5}",checkin,fEX1IcPNrhJAdwk4DgyVVw
"{'15-1': 5, '15-0': 3, '15-3': 3, '15-2': 4, '15-4': 6, '18-1': 1, '22-4': 1, '14-4': 1, '14-0': 1, '14-3': 3, '1-3': 2, '1-2': 2, '1-4': 1, '13-2': 2, '13-0': 1, '11-1': 1, '11-0': 1, '11-2': 1, '12-3': 1, '6-0': 1, '9-3': 1, '9-2': 1, '17-1': 1, '10-4': 1}",checkin,GQ6bCvYZxdGY6ZQyeZFeVg
"{'9-1': 1, '13-2': 1, '17-5': 5, '7-4': 4, '11-5': 2, '17-6': 2, '13-1': 1, '16-1': 1, '16-5': 1, '14-5': 1, '6-4': 1, '12-5': 1, '12-0': 1, '8-3': 3}",checkin,Ph-luLM88Kj6Hb1PIh_StQ
"{'9-4': 1, '13-0': 1, '17-3': 1, '16-4': 1, '11-2': 1, '14-5': 1}",checkin,6StqQK7_shwJWW8LuBkCjQ
"{'13-3': 1, '11-1': 1, '16-4': 1, '17-0': 1, '14-4': 1, '14-5': 1, '10-3': 1}",checkin,OvV84elHGF1AVVy9eTLZ7A
"{'11-3': 1, '15-1': 1, '22-4': 1, '18-4': 2, '18-6': 1, '22-0': 1, '17-3': 1, '14-2': 2, '5-6': 1, '19-6': 1, '19-2': 1, '11-5': 1, '13-1': 1, '17-0': 2, '13-5': 2, '14-5': 1, '6-2': 1, '6-3': 1, '9-0': 1, '4-2': 1, '9-2': 1, '5-1': 1, '5-0': 1, '5-3': 1, '7-2': 2, '20-5': 1, '16-2': 1, '16-3': 1, '16-0': 2, '16-1': 1, '16-6': 1, '17-2': 1, '17-1': 1, '16-5': 1, '8-6': 1, '21-3': 1}",checkin,TvUT6RrTcw8rzBO3QXOWvQ
"{'13-5': 1, '15-1': 1, '15-3': 3, '15-5': 1, '15-4': 1, '18-1': 2, '16-1': 1, '18-5': 1, '17-3': 1, '14-0': 2, '17-1': 2, '19-5': 1, '19-4': 1, '19-1': 1, '21-2': 1, '19-3': 2, '13-3': 1, '11-3': 1, '12-5': 1, '11-5': 1, '9-5': 1, '18-3': 2, '20-3': 1, '20-2': 1, '20-5': 1, '7-6': 2, '17-6': 2, '17-5': 1, '17-4': 3, '16-6': 1, '17-2': 4, '16-4': 1, '21-5': 1, '8-6': 3, '10-5': 3, '10-6': 1}",checkin,IkJGALk6OvASIiFLkuTIDg
